문제,보기1,보기2,보기3,보기4,정답,해설
"다음 자료를 버블 정렬을 이용하여 오름차순으로 정렬할 경우 Pass 2의 결과는? 9, 6, 7, 3, 5","3, 5, 6, 7, 9","6, 7, 3, 5, 9","3, 5, 9, 6, 7","6, 3, 5, 7, 9",④,"2 PASS 후: (1) 6,9,7,3,5 → 6,7,9,3,5 → 6,7,3,9,5 → 6,7,3,5,9 (2) 6,7,3,5,9 → 6,3,7,5,9 → 6,3,5,7,9."
"테스트 케이스 자동 생성 도구를 이용하여 테스트 데이터를 찾아내는 방법이 아닌 것은?","스터브(Stub)와 드라이버(Driver)","입력 도메인 분석","랜덤 테스트(Random)","자료 흐름도",①,"Stub, Driver는 테스트 자동생성 도구나 입력 데이터 탐색 방법이 아니라 테스트 모듈(대행/주도)을 의미합니다."
"형상 관리의 개념과 절차에 대한 설명으로 틀린 것은?","형상 식별은 형상 관리 계획을 근거로 형상 관리의 대상이 무엇인지 식별하는 과정이다.","형상 관리를 통해 가시성과 추적성을 보장함으로써 소프트웨어의 생산성과 품질을 높일 수 있다.","형상 통제 과정에서는 형상 목록의 변경 요구를 즉시 수용 및 반영해야 한다.","형상 감사는 형상 관리 계획대로 형상 관리가 진행되고 있는지, 형상 항목의 변경이 요구사항에 맞도록 제대로 이뤄졌는지 등을 살펴보는 활동이다.",③,"형상통제는 변경요구를 즉시 반영하는 게 아니라, 검토·승인 절차를 거쳐야 합니다."
"프로젝트에 내재된 위험 요소를 인식하고 그 영향을 분석하여 이를 관리하는 활동으로서 프로젝트를 성공시키기 위하여 위험 요소를 사전에 예측·대비하는 모든 기술과 활동을 포함하는 것은?","Critical Path Method","Risk Analysis","Work Breakdown Structure","Waterfall Model",②,"Project Risk Analysis(위험분석)는 사전 인지, 예측, 관리 활동을 모두 포함합니다."
"분할 정복(Divide and Conquer)에 기반한 알고리즘으로 피봇(pivot)을 사용하며 최악의 경우 n(n-1)/2회의 비교를 수행해야 하는 정렬(Sort)은?","Selection Sort","Bubble Sort","Insert Sort","Quick Sort",④,"Quick Sort(퀵 정렬)는 분할 정복을 사용하고 pivot을 기준으로 배열을 나눕니다. 최악 O(n^2) 비교가 필요합니다."
"클린 코드(Clean Code)를 작성하기 위한 원칙으로 틀린 것은?","추상화 하위 클래스/메소드/함수를 통해 애플리케이션의 특성을 간략하게 나타내고, 상세 내용은 상위 클래스/메소드/함수에서 구현한다.","의존성: 다른 모듈에 미치는 영향을 최소화하도록 작성한다.","가독성: 누구든지 읽기 쉽게 코드를 작성한다.","중복성: 중복을 최소화 할 수 있는 코드를 작성한다.",①,"추상화의 경우 상세 내용은 하위가 아니라, 상위(부모)가 아니라 하위(자식)에서 구현합니다. 반대 설명."
"순서가 있는 리스트에서 데이터의 삽입(Push), 삭제(Pop)가 한 쪽 끝에서 일어나며 LIFO의 특징을 가지는 자료 구조는?","Tree","Graph","Stack","Queue",③,"스택(Stack)은 LIFO(Last-In-First-Out) 구조로, 삽입/삭제가 한 쪽 끝(top)에서 일어납니다."
"화이트박스 테스트와 관련한 설명으로 틀린 것은?","화이트박스 테스트의 이해를 위해 논리 흐름도(Logic-Flow Diagram)를 이용할 수 있다.","테스트 데이터를 이용해 실제 프로그램을 실행함으로써 오류를 찾는 동적 테스트에 해당한다.","프로그램의 구조를 고려하지 않기 때문에 테스트 케이스는 프로그램 또는 모듈의 요구나 명세를 기초로 결정한다.","테스트 데이터를 선택하기 위하여 검증 기준(Test Coverage)을 정한다.",③,"화이트박스 테스트는 내부 논리구조에 대한 분석을 바탕으로 테스트 케이스를 결정합니다. 구조를 고려하지 않는 것은 블랙박스 테스트입니다."
"다음과 같이 레코드가 구성되어 있을 때 이진 검색 방법으로 14를 찾을 경우 비교되는 횟수는?
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15","2","3","4","5",②,"이진 검색 시 8(1), 12(2), 14(3): 총 3회 비교가 필요합니다."
"DBMS의 필수 기능 중 모든 응용 프로그램들이 요구하는 데이터 구조를 지원하기 위해 데이터베이스에 저장될 데이터 타입과 구조에 대한 정의, 이용방식, 제약 조건 등을 명시하는 기능은?","정의 기능","조작 기능","제어 기능","절차 기능",①,"정의 기능(Definition)이 데이터 타입, 구조, 제약조건 명시로 데이터베이스의 기본을 설정합니다."
