문제,보기1,보기2,보기3,보기4,정답,해설
"CBD(Component Based Development) SW 개발 표준 산출물 중 분석 단계에 해당하는 것은?","클래스 설계서","통합시험 결과서","프로그램 코드","사용자 요구사항 정의서",④,"컴포넌트 기반 개발 표준 산출물 중 분석 단계에 해당하는 것은 요구사항 정의서입니다."
"구글의 구글 브레인 팀이 제작하여 공개한 기계 학습(Machine Learning)을 위한 오픈 소스 소프트웨어 라이브러리는?","타조(Tajo)","원 세그(One Seg)","포스퀘어(Foursquare)","텐서플로(TensorFlow)",④,"구글의 구글 브레인 팀이 제작하여 공개한 기계 학습을 위한 오픈 소스 소프트웨어 라이브러리는 텐서플로(TensorFlow)입니다.\nㆍ타조(Tajo) : 오픈 소스 기반 분산 컴퓨팅 플랫폼인 아파치 하둡(Apache Hadoop) 기반의 분산 데이터 웨어하우스 프로젝트로, 우리나라가 주도하여 개발하고 있음\nㆍ원 세그(One Seg) : 일본의 디지털 휴대 이동 방송 서비스로, 지상파 디지털 방송 신호는 6MHz 대역에 13개의 세그먼트로 이루어져 있고, 방송 서비스 품질에 따라 세그먼트 양을 가변적으로 사용함\nㆍ포스퀘어(Foursquare) : 특정 지역이나 장소를 방문할 때 자신의 위치를 지도에 표시하고, 방문한 곳의 정보를 남길 수 있는 기능을 제공하는 위치 기반 소셜 네트워크 서비스(SNS)"
"Secure 코딩에서 입력 데이터의 보안 약점과 관련한 설명으로 틀린 것은?","SQL 삽입 : 사용자의 입력 값 등 외부 입력 값이 쿼리에 삽입되어 공격","크로스사이트 스크립트 : 검증되지 않은 외부 입력 값에 의해 브라우저에서 악의적인 코드가 실행","운영체제 명령어 삽입 : 운영체제 명령어 파라미터 입력 값이 적절한 사전검증을 거치지 않고 사용되어 공격자가 운영체제 명령어를 조작","자원 삽입 : 사용자가 내부 입력 값을 통해 시스템 내에 사용이 불가능한 자원을 지속적으로 입력함으로써 시스템에 과부하 발생",④,"자원 삽입은 데이터 입출력 경로를 조작하여 서버 자원을 수정 및 삭제할 수 있는 보안 약점입니다.\nㆍSQL 삽입 (SQL Injection) : 웹 응용 프로그램에 SQL을 삽입하여 내부 데이터베이스(DB) 서버의 데이터를 유출 및 변조하고 관리자 인증을 우회하는 보안 약점\nㆍ크로스사이트 스크립팅(XSS;Cross Site Scripting) : 웹페이지에 악의적인 스크립트를 삽입하여 방문자들의 정보를 탈취하거나 비정상적인 기능 수행을 유발하는 보안 약점\nㆍ운영체제 명령어 삽입 : 외부 입력값을 통해 시스템 명령어의 실행을 유도함으로써 권한을 탈취하거나 시스템 장애를 유발하는 보안 약점"
"두 명의 개발자가 5개월에 걸쳐 10,000라인의 코드를 개발하였을 때, 월별(man-month) 생산성 측정을 위한 계산 방식으로 가장 적합한 것은?","10000 / 2","10000 / (5×2)","10000 / 5","(2×10000) / 5",②,"생산성을 구하는 공식은 원시 코드 라인 수 / 노력이고, 노력은 개발기간 × 투입인원이므로 계산식은 ‘10000 / (5×2)’입니다."
"소프트웨어 재공학의 주요 활동 중 기존 소프트웨어를 다른 운영체제나 하드웨어 환경에서 사용할 수 있도록 변환하는 것은?","역공학","분석","재구성","이식",④,"기존 소프트웨어를 다른 운영체제나 하드웨어 환경에서 사용할 수 있도록 변환하는 활동을 이식(Migration)이라고 합니다.\nㆍ분석(Analysis) : 기존 소프트웨어의 명세서를 확인하여 소프트웨어의 동작을 이해하고, 재공할 대상을 선정하는 활동\nㆍ재구성(Restructuring) : 상대적으로 같은 추상적 수준에서 하나의 표현을 다른 표현 형태로 바꾸는 활동\nㆍ역공학(Reverse Engineering) : 기존 소프트웨어를 분석하여 소프트웨어 개발 과정과 데이터 처리 과정을 설명하는 분석 및 설계 정보를 재발견하거나 다시 만들어 내는 활동"
"전자 칩과 같은 소프트웨어 부품, 즉 블록, 모듈을 만들어서 끼워 맞추는 방법으로 소프트웨어를 완성시키는 재사용 방법은?","합성 중심","생성 중심","분리 중심","구조 중심",①,"전자 칩과 같은 소프트웨어 부품, 즉 블록, 모듈을 만들어서 끼워 맞추는 방법으로 소프트웨어를 완성시키는 재사용 방법을 합성 중심이라고 합니다.\nㆍ생성 중심(Generation-Based) : 추상화 형태로 쓰여진 명세를 구체화하여 프로그램을 만드는 방법으로, 패턴 구성 방법이라고도 함"
"다음 내용이 설명하는 것은?\nㆍ네트워크상에 광채널 스위치의 이점인 고속 전송과 장거리 연결 및 멀티 프로토콜 기능을 활용\nㆍ각기 다른 운영체제를 가진 여러 기종들이 네트워크상에서 동일 저장장치의 데이터를 공유하게 함으로써 여러 개의 저장장치나 백업 장비를 단일화시킨 시스템","SAN","MBR","NAC","NIC",①,"문제의 지문은 SAN(Storage Area Network)에 대한 설명입니다.\nㆍ메모리 버퍼 레지스터(MBR; Memory Buffer Register) : 기억장치를 출입하는 데이터가 잠시 기억되는 레지스터\nㆍNAC(Network Access Control) : 네트워크에 접속하는 내부 PC의 MAC/IP 주소를 보안 관리 시스템에 등록한 후 일관된 보안 관리 기능을 제공하는 보안 솔루션\nㆍNIC(Network Interface Card) : 컴퓨터와 컴퓨터 또는 컴퓨터와 네트워크를 연결하는 장치로, 정보 전송 시 정보가 케이블을 통해 전송될 수 있도록 정보 형태를 변경함"
"크래커가 침입하여 백도어를 만들어 놓거나, 설정 파일을 변경했을 때 분석하는 도구는?","trace","tripwire","udpdump","cron",②,"파일 변경 및 인터페이스 취약점을 분석하는데 사용되는 도구는 데이터 무결성 검사 도구로, 종류에는 Tripwire, AIDE, Samhain, Claymore, Slipwire, Fcheck 등이 있습니다."
"실무적으로 검증된 개발보안 방법론 중 하나로 보안의 모범 사례를 SW 개발 SDLC(Software Development Life Cycle)에 통합한 소프트웨어 개발 보안 생명주기 방법론은?","CLASP","CWE","PIMS","Seven Touchpoints",④,"보안의 모범 사례를 SW 개발 SDLC에 통합한 소프트웨어 개발 보안 생명주기 방법론은 Seven Touchpoints입니다.\nㆍCLASP(Comprehensive Lightweight Application Security Process) : Secure Software사에서 개발한 개발방법론으로, 생명주기 초기 단계의 보안 강화를 목적으로 함\nㆍCWE(Common Weakness Enumeration) : 프로그램을 실행시키지 않고 결함을 분석할 수 있도록 각 결함의 종류와 유형 등을 체계적으로 정리한 목록\nㆍPIMS(Personal Information Management System) : 정보통신망에서 개인정보보호를 위한 관리체계로서 관리적, 기술적, 물리적 보호조치가 표준에 맞게 수행되는지 정부가 확인해주는 인증제도"
"소프트웨어 프로세스에 대한 개선 및 능력 측정 기준에 대한 국제 표준은?","ISO 14001","IEEE 802.5","IEEE 488","SPICE",④,"소프트웨어 품질 및 생산성 향상을 위해 소프트웨어 프로세스를 평가 및 개선하는 국제 표준은 SPICE입니다."
