문제,보기1,보기2,보기3,보기4,정답,해설
"익스트림 프로그래밍(XP)에 대한 설명으로 틀린 것은?","빠른 개발을 위해 테스트를 수행하지 않는다.","사용자의 요구사항은 언제든지 변할 수 있다.","고객과 직접 대면하며 요구사항을 이야기하기 위해 사용자 스토리(User Story)를 활용할 수 있다.","기존의 방법론에 비해 실용성을 강조한 것이라고 볼 수 있다.",①,"XP(eXtreme Programming)는 고객의 요구 변화에 신속하게 대응하기 위해 릴리즈 기간을 가능한 짧게 반복하는데, 릴리즈 기간 동안 지속적으로 테스트가 진행될 수 있도록 자동화된 테스팅 구조를 사용합니다."
"DOS 및 Unix 등의 운영체제에서 조작을 위해 사용하던, 정해진 명령 문자열을 입력하여 시스템을 조작하는 사용자 인터페이스는?","GUI(Graphical User Interface)","CLI(Command Line Interface)","CUI(Cell User Interface)","MUI(Mobile User Interface)",②,"정해진 명령 문자열을 입력하여 시스템을 조작하는 사용자 인터페이스를 CLI(Command Line Interface)라고 합니다.
ㆍNUI(Natural User Interface): 사용자의 말이나 행동으로 기기를 조작하는 인터페이스
ㆍCLI(Command Line Interface): 명령과 출력이 텍스트 형태로 이뤄지는 인터페이스"
"UML 다이어그램 중 정적 다이어그램이 아닌 것은?","컴포넌트 다이어그램","배치 다이어그램","순차 다이어그램","패키지 다이어그램",③,"순차 다이어그램(Sequence Diagram)은 시간의 흐름에 따라 상호 작용하는 개체들을 표현하는 동적 다이어그램입니다."
"다음 내용이 설명하는 UI 설계 도구는?
ㆍ디자인, 사용 방법 설명, 평가 등을 위해 실제 화면과 유사하게 만든 정적인 형태의 모형
ㆍ시각적으로만 구성 요소를 배치하는 것으로 일반적으로 실제로 구현되지는 않음","스토리보드(Storyboard)","목업(Mockup)","프로토타입(Prototype)","유스케이스(Usecase)",②,"문제의 설명은 UI 설계 도구 중 목업(Mockup)에 대한 설명입니다.
ㆍ스토리보드(Story Board): 와이어프레임에 콘텐츠에 대한 설명, 페이지 간 이동 흐름 등을 추가한 문서
ㆍ프로토타입(Prototype): 와이어프레임이나 스토리보드 등에 인터랙션을 적용함으로써 실제 구현된 것처럼 테스트가 가능한 동적인 형태의 모형
ㆍ유스케이스(Use Case): 사용자가 원하는 목표를 달성하기 위해 수행할 내용을 기술한 것"
"요구사항 분석에서 비기능적 요구에 대한 설명으로 옳은 것은?","시스템의 처리량(Throughput), 반응 시간 등의 성능 요구나 품질 요구는 비기능적 요구에 해당하지 않는다.","차량 대여 시스템이 제공하는 모든 화면이 ‘3초 이내에 사용자에게 보여야 한다’는 비기능적 요구이다.","시스템 구축과 관련된 안전, 보안에 대한 요구사항들은 비기능적 요구에 해당하지 않는다.","금융 시스템은 조회, 인출, 입금, 송금의 기능이 있어야 한다는 비기능적 요구이다.",②,"비기능적 요구에 대한 설명은 ②번입니다.
성능 요구나 품질 요구는 비기능 요구사항에 해당합니다.
① 안전이나 보안에 대한 요구사항은 비기능 요구사항에 해당합니다.
③ 기능 요구사항에 해당합니다."
"명백한 역할을 가지고 독립적으로 존재할 수 있는 시스템의 부분으로, 넓은 의미에서는 재사용되는 모든 단위라고 볼 수 있으며, 인터페이스를 통해서만 접근할 수 있는 것은?","Model","Sheet","Component","Cell",③,"문제에 제시된 내용은 컴포넌트(Component)에 대한 설명입니다."
"다음 중 SOLID 원칙이라고 불리는 객체지향 설계 원칙에 속하지 않는 것은?","ISP(Interface Segregation Principle)","DIP(Dependency Inversion Principle)","LSP(Liskov Substitution Principle)","SSO(Single Sign On)",④,"SOLID 원칙의 S에 해당하는 것은 SRP(Single Responsibility Principle)입니다."
"UML 확장 모델에서 스테레오타입 객체를 표현할 때 사용하는 기호로 맞는 것은?","<< >>","(( ))","{{ }}","[[ ]]",①,"UML에서 표현하는 기본 기능 외에 추가적인 기능을 표현하는 스테레오타입은 길러멧(Guillemet, << >>) 겹화살괄호 사이에 기능을 기술합니다."
"다음 중 CASE(Computer-Aided Software Engineering)의 원천 기술이 아닌 것은?","구조적 기법","프로토타이핑 기술","정보 저장소 기술","일괄처리 기술",④,"CASE의 원천 기술에는 구조적 기법, 프로토타이핑 기술, 응용 프로그래밍 기술, 정보 저장소 기술, 분산처리 기술이 있습니다."
"다음 중 상태 다이어그램에서 객체 전이의 요인이 되는 요소는?","event","state","message","transition",①,"상태 다이어그램은 객체들 사이에 발생하는 이벤트(event)에 의한 객체들의 상태 변화를 그림으로 표현한 것입니다."
