문제,보기1,보기2,보기3,보기4,정답,해설
"최악의 경우 검색 효율이 가장 나쁜 트리 구조는?","이진 탐색 트리","AVL 트리","2-3 트리","레드블랙 트리",①,"이진 탐색 트리의 평균 시간 복잡도는 O(logN)이지만, 트리의 구조가 한쪽으로 치우친 경우 성능을 보장하기 어렵습니다. 이를 보완하고자 개발된 균형 트리가 AVL, 2-3, 레드블랙 트리입니다. 
따라서 원형에 해당하는 이진 탐색 트리의 검색 효율이 가장 좋지 않고, 다음으로 AVL, 2-3, 레드블랙 순입니다."
"다음 중 선형 구조로만 묶인 것은?","스택, 트리","큐, 데크","큐, 그래프","리스트, 그래프",②,"선형 구조를 가지는 자료 구조에는 배열, 선형 리스트, 스택, 큐, 데크가 있습니다."
"화이트박스 검사 기법에 해당하는 것으로만 짝지어진 것은?","데이터 흐름 검사, 루프 검사","데이터 흐름 검사, 원인 결과 그래프 기법","루프 검사, 오류예측 기법","경계값 분석, 오류예측 기법",①,"데이터 흐름 검사와 루프 검사는 화이트박스 테스트이고, 나머지는 블랙박스 테스트입니다."
"단위 테스트에서 테스트의 대상이 되는 하위 모듈을 호출하고 파라미터를 전달하는 가상의 모듈로 상향식 테스트에 필요한 것은?","테스트 스텁(Test Stub)","테스트 드라이버(Test Driver)","테스트 슈트(Test Suites)","테스트 케이스(Test Case)",②,"단위 테스트에서 테스트의 대상이 되는 하위 모듈을 호출하고 파라미터를 전달하는 가상의 모듈로 상향식 테스트에 필요한 것은 테스트 드라이버입니다(Test Driver).
ㆍ테스트 스텁(Test Stub): 제어 모듈이 호출하는 타 모듈의 기능을 단순히 수행하는 도구로 일시적으로 필요한 조건만을 가지고 있는 테스트용 모듈
ㆍ테스트 슈트(Test Suites): 테스트 대상 컴포넌트나 모듈, 시스템에 사용되는 테스트 케이스의 집합
ㆍ테스트 케이스(Test Case): 사용자의 요구사항을 정확하게 준수했는지 확인하기 위한 입력 값, 실행 조건, 기대 결과 등으로 만들어진 테스트 항목의 명세서"
"인터페이스 구현 시 사용하는 기술로 속성값 쌍(Attribute-Value Pairs)으로 이루어진 데이터 오브젝트를 전달하기 위해 사용하는 개방형 표준 포맷은?","JSON","HTML","AVPN","DOF",①,"속성값 쌍(Attribute-Value Pairs)으로 이루어진 데이터 오브젝트를 전달하기 위해 사용하는 개방형 표준 포맷은 JSON(JavaScript Object Notation)입니다."
"DRM(Digital Rights Management)과 관련한 설명으로 틀린 것은?","디지털 콘텐츠와 디바이스의 사용을 제한하기 위해 하드웨어 제조업자, 저작권자, 출판업자 등이 사용할 수 있는 접근 제어 기술을 의미한다.","디지털 미디어의 생명 주기 동안 발생하는 사용 권한 관리, 과금, 유통 단계를 관리하는 기술로도 볼 수 있다.","클리어링 하우스(Clearing House)는 사용자에게 콘텐츠 라이센스를 발급하고 권한을 부여해주는 시스템을 말한다.","원본을 안전하게 유통하기 위한 전자적 보안은 고려하지 않기 때문에 불법 유통과 복제의 방지는 불가능하다.",④,"디지털 저작권 관리(DRM)는 콘텐츠를 안전하게 유통하기 위한 전자적 보안 장치인 보안 컨테이너(Security Container)를 통해 불법 유통과 복제를 방지할 수 있습니다."
"다음 중 테스트 오라클에 대한 설명으로 옳지 않은 것은?","샘플링 오라클: 특정한 몇몇 테스트 케이스의 입력 값들에 대해서만 기대하는 결과를 제공하는 오라클이다.","토탈 오라클: 모든 테스트 케이스의 입력 값에 대해 기대하는 결과를 제공하는 오라클이다.","휴리스틱 오라클: 특정 테스트 케이스의 입력 값에 대해 기대하는 결과를 제공하고, 나머지 입력 값들에 대해서는 추정으로 처리하는 오라클이다.","일관성 검사 오라클: 애플리케이션의 변경이 있을 경우 테스트 케이스의 수행 전과 후의 결과 값이 동일한지를 확인하는 오라클이다.",②,"모든 테스트 케이스의 입력 값에 대해 기대하는 결과를 제공하는 오라클은 참 오라클입니다."
"인터페이스 구현 검증 도구가 아닌 것은?","ESB","xUnit","STAF","NTAF",①,"ESB는 애플리케이션 간 연계, 데이터 변환, 웹 서비스 지원 등 표준 기반의 인터페이스를 제공하는 솔루션입니다."
"정점이 5인 방향 그래프가 가질 수 있는 최대 간선 수는? (자기 간선과 중복 간선은 배제)","7","10","20","27",②,"5개의 정점으로 구성된 방향 그래프에서 최대 간선 수는 n(n-1) 이므로, 5(5-1) = 20개입니다."
"물리데이터 저장소의 파티션 설계에서 파티션 유형으로 옳지 않은 것은?","범위 분할(Range Partitioning)","해시 분할(Hash Partitioning)","조합 분할(Composite Partitioning)","유닛 분할(Unit Partitioning)",④,"파티션의 종류에는 범위 분할, 해시 분할, 조합 분할, 목록 분할, 라운드 로빈 분할이 있습니다."
