문제,보기1,보기2,보기3,보기4,정답,해설
"제품 소프트웨어의 형상 관리 역할로 틀린 것은?","형상 관리를 통해 이전 리버전이나 버전에 대한 정보에 접근 가능하여 배포본 관리에 유용","불필요한 사용자의 소스 수정 제한","프로젝트 개발비용을 효율적으로 관리","동일한 프로젝트에 대해 여러 개발자 동시 개발 가능",③,"형상관리는 품질관리, 변경통제 등 개발비용의 직접 관리와는 관련이 적습니다."
"동시에 소스를 수정하는 것을 방지하며 다른 방향으로 진행된 개발 결과를 합치거나 변경 내용을 추적할 수 있는 소프트웨어 버전 관리 도구는?","RCS(Revision Control System)","RTS(Reliable Transfer Service)","RPC(Remote Procedure Call)","RVS(Relative Version System)",①,"버전 관리 시스템 RCS는 소스 동시 수정 방지, 변경이력 관리 등을 지원합니다."
"블랙박스 테스트 기법으로 거리가 먼 것은?","기초 경로 검사","동치 클래스 분해","경계값 분석","원인 결과 그래프",①,"기초 경로 검사는 화이트박스 테스트 기법입니다."
"하향식 통합 시험을 위해 일시적으로 필요한 조건만을 가지고 임시로 제공되는 시험용 모듈은?","Stub","Driver","Procedure","Function",①,"Stub은 하향식 통합 테스트에서 하위 모듈 대역입니다."
"알고리즘 시간 복잡도 O(1)이 의미하는 것은?","컴퓨터 처리가 불가","알고리즘 입력 데이터 수가 한 개","알고리즘 수행시간이 입력 데이터 수와 관계없이 일정","알고리즘 길이가 입력 데이터보다 작음",③,"O(1): 입력 데이터 수와 무관하게 수행 시간이 일정한 상수 시간."
"제어 흐름 그래프가 다음과 같을 때 McCabe의 cyclomatic 수는 얼마인가?", "3","4","5","6",②,"노드, 간선 수에 따라 McCabe's cyclomatic 수 계산 결과는 4입니다."
"클린 코드 작성 원칙에 대한 설명으로 틀린 것은?","코드의 중복을 최소화 한다.","코드가 다른 모듈에 미치는 영향을 최대화하도록 작성한다.","누구든지 코드를 쉽게 읽을 수 있도록 작성한다.","간단하게 코드를 작성한다.",②,"코드가 다른 모듈에 미치는 영향은 최소화(높은 독립성)가 원칙입니다."
"인터페이스 보안을 위해 네트워크 영역에 적용될 수 있는 것으로 거리가 먼 것은?","IPSec","SSL","SMTP","S-HTTP",③,"SMTP는 메일 전송 프로토콜로, 대표적 보안프로토콜은 아닙니다."
"다음 그래프에서 정점 A를 선택하여 깊이 우선 탐색(DFS)으로 운행한 결과는?","ABECDFG","ABECFDG","ABCDEFG","ABEFGCD",④,"깊이 우선 탐색(DFS) 결과는 A→B→E→F→G→C→D(④)입니다."
"정보 시스템 개발 단계에서 프로그래밍 언어 선택 시 고려할 사항으로 가장 거리가 먼 것은?","개발 정보 시스템의 특성","사용자의 요구사항","컴파일러의 가용성","컴파일러의 독창성",④,"컴파일러의 독창성보다는 신뢰성, 호환성, 가용성이 더 중요합니다."
