문제,보기1,보기2,보기3,보기4,정답,해설
"구조적 방법론에 대한 설명으로 옳은 것은?","자료 중심의 방법론이다.","구성 요소에는 객체, 클래스, 메시지 등이 있다.","새로운 기능을 추가하는 것이 간단하여 확장성이 보장된다.","분할과 정복 원리를 적용한다.",④,"구조적 방법론은 분할과 정복(Divide and Conquer) 원리를 적용합니다. ㆍ①번은 정보공학 방법론, ②번은 객체지향 방법론, ③번은 컴포넌트 기반 방법론에 대한 설명입니다."
"다음에서 설명하는 IT 기술은?
ㆍ네트워크를 제어부/데이터 전달부로 분리하여 네트워크 관리자가 보다 효율적으로 네트워크를 제어/관리할 수 있는 기술
ㆍ기존의 라우터, 스위치 등과 같이 하드웨어에 의존하는 네트워크 체계에서 안정성, 속도, 보안 등을 소프트웨어로 제어/관리하기 위해 개발됨
ㆍ네트워크 장비의 펌웨어 업그레이드를 통해 사용자의 직접적인 데이터 전송 경로 관리가 가능하고, 기존 네트워크에는 영향을 주지 않으면서 특정 서비스의 전송 경로 수정을 통하여 인터넷상에서 발생하는 문제를 처리할 수 있음","SDN(Software Defined Networking)","NFS(Network File System)","Network Mapper","AOE Network",①,"문제의 지문은 소프트웨어 정의 네트워킹(SDN; Software Defined Networking)에 대한 설명입니다."
"Secure 코딩에서 입력 데이터의 보안 약점과 관련한 설명으로 틀린 것은?","SQL 삽입 : 사용자의 입력 값 등 외부 입력 값이 쿼리에 삽입되어 공격","크로스사이트 스크립트 : 검증되지 않은 외부 입력 값에 의해 브라우저에서 악의적인 코드가 실행","운영체제 명령어 삽입 : 운영체제 명령어 파라미터 입력 값이 적절한 사전검증을 거치지 않고 사용되어 공격자가 운영체제 명령어를 조작","자원 삽입 : 사용자가 내부 입력 값을 통해 시스템 내에 사용이 불가능한 자원을 지속적으로 입력함으로써 시스템에 과부하 발생",④,"자원 삽입은 데이터 입출력 경로를 조작하여 서버 자원을 수정 및 삭제할 수 있는 보안 약점입니다."
"DDoS 공격과 연관이 있는 공격 방법은?","Secure shell","Tribe Flood Network","Nimda","Deadlock",②,"Tribe Flood Network는 DDoS 공격의 종류 중 하나로, UDP Flooding, SYN Flooding, Smurfing 등의 다양한 서비스 거부(DoS) 공격을 수행합니다."
"메모리 상에서 프로그램의 복귀 주소와 변수 사이에 특정 값을 저장해 두었다가 그 값이 변경되었을 경우 오버플로우 상태로 가정하여 프로그램 실행을 중단하는 기술은?","모드체크","리커버리 통제","시스로그","스택가드",④,"문제에 제시된 내용은 스택가드(StackGuard)에 대한 설명입니다. ㆍ모드체크(Mode Check): 영문, 숫자, 특수문자 등 입력될 수 있는 문자의 종류가 제한된 경우 입력문자를 확인하여 이상 유무를 검색하는 것 ㆍ시스로그(Syslog): 시스템 관리자가 송수신한 메시지나 명령, 시스템 이벤트 발생 내용, 시스템 작업과 관련된 정보 등을 저장한 자료의 집합"
"OSI 7 Layer 전 계층의 프로토콜과 패킷 내부의 콘텐츠를 파악하여 침입 시도, 해킹 등을 탐지하고 트래픽을 조정하기 위한 패킷 분석 기술은?","PLCP(Packet Level Control Processor)","Traffic Distributor","Packet Tree","DPI(Deep Packet Inspection)",④,"문제에서 설명하는 분석 기술은 DPI(Deep Packet Inspection)입니다."
"네트워크상에 광채널 스위치의 이점인 고속 전송과 장거리 연결 및 멀티 프로토콜 기능을 활용, 각기 다른 운영체제를 가진 여러 기종들이 네트워크상에서 동일 저장장치의 데이터를 공유하게 함으로써 여러 개의 저장장치나 백업 장비를 단일화시킨 시스템은?","SAN","MBR","NAC","NIC",①,"문제의 지문은 SAN(Storage Area Network)에 대한 설명입니다."
"Public 메소드로부터 Private 배열이 반환될 경우 발생하는 문제점으로 가장 옳은 것은?","메소드로의 접근이 불가능해진다.","배열의 주소가 외부로 공개되어 외부에서 접근할 수 있게 된다.","시스템의 내부 정보가 노출된다.","동기화 오류가 발생한다.",②,"메소드로부터 Public/Private 배열이 반환될 경우 배열의 주소가 외부로 공개되어 외부에서 배열에 접근할 수 있게 됩니다."
"SSH(Secure Shell)에 대한 설명으로 틀린 것은?","SSH의 기본 네트워크 포트는 25번을 사용한다.","전송되는 데이터는 암호화 된다.","키를 통한 인증은 클라이언트의 공개키를 서버에 등록해야 한다.","서로 연결되어 있는 컴퓨터 간 원격 명령 실행이나 셀 서비스 등을 수행한다.",①,"SSH(Secure Shell)의 기본 네트워크 포트는 22번입니다."
"프로젝트의 각 작업들이 언제 시작하고 언제 종료되는지에 대한 작업 일정을 막대 도표를 이용하여 표시하는 프로젝트 일정표는?","간트 차트","임계 경로 기법","PERT","WBS",①,"문제에 제시된 내용은 간트 차트의 개념입니다."
