문제,보기1,보기2,보기3,보기4,정답,해설
"데이터베이스 설계 단계 중 저장 레코드 양식 설계, 레코드 집중의 분석 및 설계, 접근 경로 설계와 관계되는 것은?","논리적 설계","요구 조건 분석","개념적 설계","물리적 설계",④,"문제에 제시된 내용은 물리적 설계에 대한 설명입니다. ㆍ논리적 설계: 현실 세계에서 발생하는 자료를 컴퓨터가 이해하고 처리할 수 있는 물리적 저장장치에 저장할 수 있도록 변환하기 위해 특정 DBMS가 지원하는 논리적 자료 구조로 변환(mapping) 시키는 과정 ㆍ요구 조건 분석: 데이터베이스를 사용할 사람들로부터 필요한 용도를 파악하는 것 ㆍ개념적 설계: 정보의 구조를 얻기 위하여 현실 세계의 무한성과 계속성을 이해하고, 다른 사람과 통신하기 위하여 현실 세계에 대한 인식을 추상적 개념으로 표현하는 과정"
"관계형 데이터 모델의 릴레이션에 대한 설명으로 틀린 것은?","모든 속성 값은 원자 값을 갖는다.","한 릴레이션에 포함된 튜플은 모두 상이하다.","한 릴레이션에 포함된 튜플 사이에는 순서가 없다.","한 릴레이션을 구성하는 속성 사이에는 순서가 존재한다.",④,"릴레이션 스키마를 구성하는 속성들 간의 순서는 중요하지 않으며, 특별한 순서가 없습니다."
"트랜잭션의 실행이 실패하였음을 알리는 연산자로 트랜잭션이 수행한 결과를 원래의 상태로 원상 복귀 시키는 연산은?","COMMIT","BACKUP","LOG","ROLLBACK",④,"하나의 트랜잭션 처리가 비정상으로 종료되어 데이터베이스의 일관성이 깨졌을 때 트랜잭션이 행한 모든 변경 작업을 취소하고 이전 상태로 되돌리는 연산은 ROLLBACK 연산입니다."
"릴레이션 R의 차수가 4이고 카디널리티가 5이며, 릴레이션 S의 차수가 6이고 카디널리티가 7일 때 두 개의 릴레이션을 카티션 프로덕트한 결과의 새로운 릴레이션의 차수와 카디널리티는 얼마인가?","24, 35","24, 12","10, 35","10, 12",③,"카티션 프로덕트(Cartesian Product), 즉 교차곱은 두 릴레이션의 차수(속성의 수)는 더하고, 카디널리티(튜플의 수)는 곱하면 됩니다. 즉 차수는 4+6=10, 카디널리티는 5×7=35입니다."
"정규화에 대한 설명으로 적절하지 않은 것은?","데이터베이스의 개념적 설계 단계 이전에 수행한다.","데이터 구조의 안정성을 최대화한다.","중복을 배제하여 삽입·삭제·갱신 이상의 발생을 방지한다.","데이터 삽입 시 릴레이션을 재구성할 필요성을 줄인다.",①,"정규화는 개념적 설계 다음에 수행하는 논리적 설계 단계에서 수행하는 작업입니다."
"데이터베이스에서 하나의 논리적 기능을 수행하기 위한 작업의 단위 또는 한꺼번에 모두 수행되어야 할 일련의 연산들을 의미하는 것은?","트랜잭션","뷰","튜플","카디널리티",①,"하나의 논리적 기능을 수행하기 위한 작업의 단위 또는 한꺼번에 모두 수행되어야 할 일련의 연산을 트랜잭션(Transaction)이라고 합니다. ㆍ뷰(View): 사용자에게 접근이 허용된 자료만을 제한적으로 보여주기 위해 하나 이상의 기본 테이블로부터 유도된, 이름을 가지는 가상 테이블 ㆍ튜플(Tuple): 릴레이션을 구성하는 각각의 행 ㆍ카디널리티(Cardinality): 테이블에 속한 튜플의 수"
"테이블 두 개를 조인하여 뷰 V_1을 정의하고, V_1을 이용하여 뷰 V_2를 정의하였다. 다음 명령 수행 후 결과로 옳은 것은? DROP VIEW V_1 CASCADE;","V_1만 삭제된다.","V_2만 삭제된다.","V_1과 V_2 모두 삭제된다.","V_1과 V_2 모두 삭제되지 않는다.",③,"CASCADE는 제거할 요소를 참조하는 다른 모든 개체를 함께 제거하므로 V_1을 제거하면 V_2도 함께 삭제됩니다."
"SQL과 관련한 설명으로 틀린 것은?","REVOKE 키워드를 사용하여 열 이름을 다시 부여할 수 있다.","데이터 정의어는 기본 테이블, 뷰 테이블, 또는 인덱스 등을 생성, 변경, 제거하는데 사용되는 명령어이다.","DISTINCT를 활용하여 중복 값을 제거할 수 있다.","JOIN을 통해 여러 테이블의 레코드를 조합하여 표현할 수 있다.",①,"REVOKE는 데이터베이스 사용자의 사용 권한을 취소하는 기능입니다."
"다른 릴레이션의 기본키를 참조하는 키를 의미하는 것은?","필드키","슈퍼키","외래키","후보키",③,"외래키는 다른 릴레이션의 기본키를 참조하는 속성 또는 속성들의 집합을 의미합니다. ㆍ슈퍼키(Super Key): 한 릴레이션 내에 있는 속성들의 집합으로 구성된 키로, 릴레이션을 구성하는 모든 튜플에 대해 유일성은 만족하지만 최소성은 만족하지 못함. ㆍ후보키(Candidate Key): 릴레이션을 구성하는 속성들 중에서 튜플을 유일하게 식별하기 위해 사용되는 속성들의 부분집합으로 유일성과 최소성을 모두 만족함."
"데이터 사전에 대한 설명으로 틀린 것은?","시스템 카탈로그 또는 시스템 데이터베이스라고도 한다.","데이터 사전 역시 데이터베이스의 일종이므로 일반 사용자가 생성, 유지 및 수정할 수 있다.","데이터베이스에 대한 데이터인 메타데이터(Metadata)를 저장하고 있다.","데이터 사전에 있는 데이터에 실제로 접근하는 데 필요한 위치 정보는 데이터 디렉토리(Data Directory)라는 곳에서 관리한다.",②,"일반 사용자가 데이터 사전에 직접 내용을 추가하거나 수정할 수 없고 내용을 검색할 수만 있습니다."
