문제,보기1,보기2,보기3,보기4,정답,해설
"테스트 케이스에 일반적으로 포함되는 항목이 아닌 것은?","테스트 조건","테스트 데이터","테스트 비용","예상 결과",③,"테스트 케이스에는 비용에 대한 항목이 포함되지 않습니다."
"이진 검색 알고리즘에 대한 설명으로 틀린 것은?","탐색 효율이 좋고 탐색 시간이 적게 소요된다.","검색할 데이터가 정렬되어 있어야 한다.","피보나치 수열에 따라 다음에 비교할 대상을 선정하여 검색한다.","비교횟수를 거듭할 때마다 검색 대상이 되는 데이터의 수가 절반으로 줄어든다.",③,"이진 검색과 피보나치 수열은 아무런 관계가 없습니다."
"여러 개의 선택 항목 중 하나의 선택만 가능한 경우 사용하는 사용자 인터페이스(UI) 요소는?","텍스트 박스","체크 박스","토글 버튼","라디오 버튼",④,"여러 항목 중 하나만 선택할 수 있는 UI 요소는 라디오 버튼입니다. 체크 박스(Check Box): 여러 개의 선택 상황에서 1개 이상의 값을 선택할 수 있는 버튼, 텍스트 박스(Text Box): 사용자가 데이터를 입력하고 수정할 수 있는 상자"
"다음 중 스택을 이용한 연산과 거리가 먼 것은?","선택 정렬","재귀 호출","후위 표현의 연산(Post-Fix Expression)","깊이 우선 탐색",①,"스택(Stack)은 재귀 호출, 후위 표기법(Postfix), 깊이 우선 탐색과 같이 왔던 길을 되돌아가는 경우에 사용됩니다."
"소프트웨어 테스트와 관련한 설명으로 틀린 것은?","화이트박스 테스트는 모듈의 논리적인 구조를 체계적으로 점검할 수 있다.","블랙박스 테스트는 프로그램의 구조를 고려하지 않는다.","테스트 케이스에는 일반적으로 시험 조건, 테스트 데이터, 예상 결과가 포함되어야 한다.","화이트박스 테스트에서 기본 경로란 흐름 그래프의 시작 노드에서 종료 노드까지의 서로 독립된 경로로 싸이클을 허용하지 않는 경로를 말한다.",③,"루프 내 문장의 수행 여부는 화이트박스 테스트를 통해서만 확인할 수 있습니다."
"애플리케이션의 처리량, 응답 시간, 경과 시간, 자원 사용률에 대해 가상의 사용자를 생성하고 테스트를 수행함으로써 성능 목표를 달성하였는지를 확인하는 테스트 자동화 도구는?","명세 기반 테스트 설계 도구","코드 기반 테스트 설계 도구","기능 테스트 수행 도구","성능 테스트 도구",④,"문제의 내용은 성능 테스트 도구에 대한 설명입니다."
"소스 코드 정적 분석(Static Analysis)에 대한 설명으로 틀린 것은?","소스 코드를 실행시키지 않고 분석한다.","코드에 있는 오류나 잠재적인 오류를 찾아내기 위한 활동이다.","하드웨어적인 방법으로만 코드 분석이 가능하다.","자료 흐름이나 논리 흐름을 분석하여 비정상적인 패턴을 찾을 수 있다.",③,"소스 코드 정적 분석 도구 중 pmd, cppcheck 등은 소프트웨어적인 방법으로 코드를 분석합니다."
"형상 관리의 개념과 절차에 대한 설명으로 틀린 것은?","형상 식별은 형상 관리 계획을 근거로 형상 관리의 대상이 무엇인지 식별하는 과정이다.","형상 관리를 통해 가시성과 추적성을 보장함으로써 소프트웨어의 생산성과 품질을 높일 수 있다.","형상 통제 과정에서는 형상 목록의 변경 요구를 즉시 수용 및 반영해야 한다.","형상 감사는 형상 관리 계획대로 형상 관리가 진행되고 있는지, 형상 항목의 변경이 요구사항에 맞도록 제대로 이뤄졌는지 등을 살펴보는 활동이다.",③,"형상 통제 과정은 식별된 형상 항목에 대한 변경 요구를 검토하여 현재의 기준선(Base Line)이 잘 반영될 수 있도록 조정하는 작업입니다."
"다음 그래프에서 정점 A를 선택하여 깊이 우선 탐색(DFS)으로 운행한 결과는?","ABECDFG","ABECFDG","ABCDEFG","ABEFGCD",④,"깊이 우선 탐색(DFS)은 정점에서 자식 노드 방향으로 운행하면서 형제 노드와 자식 노드가 있을 때 자식 노드를 우선 탐색하는 기법입니다. ... A → B → E → F → G → C → D"
"분할 정복(Divide and Conquer)에 기반한 알고리즘으로 피봇(pivot)을 사용하며 최악의 경우 n(n-1)/2회의 비교를 수행해야 하는 정렬(Sort)은?","Selection Sort","Bubble Sort","Insert Sort","Quick Sort",④,"분할 정복(Divide and Conquer)에 기반한 알고리즘으로 피봇을 사용하는 정렬은 퀵 정렬(Quick Sort)입니다."
