문제,보기1,보기2,보기3,보기4,정답,해설
"다음 내용이 설명하는 것은?
ㆍ서버 측에서 동적으로 수행되는 페이지를 만들기 위한 언어로 마이크로 소프트 사에서 제작하였다.
ㆍWindows 계열에서만 수행 가능한 프로그래밍 언어이다.","자바스크립트(JAVA Script)","ASP(Active Server Page)","JSP(Java Server Page)","파이썬(Python)",②,"문제의 지문에 제시된 내용은 ASP(Active Server Page)의 특징입니다."
"IP 버전에 대한 설명 중 틀린 것은?","IPv4는 각 부분을 옥텟으로 구성, 총 32비트로 구성된다.","IPv6는 각 부분을 콜론으로 구분한다.","IPv4는 네트워크 부분의 길이에 따라 클래스에서 A~E까지 총 5단계로 구성되어 있다.","IPv6는 IPv4에 비해 자료 전송 속도가 느리다.",④,"IPv6는 IPv4에 비해 자료 전송 속도가 빠릅니다."
"다음 내용이 설명하는 스크립트 언어는?
ㆍ서버용 스크립트 언어로 Linux, Unix, Windows 등 운영체제에서 사용 가능하다.
ㆍC, Java 등과 문법이 유사하므로 배우기 쉬워 웹 페이지 제작에 많이 사용된다.","PHP","Basic","C#","Python",①,"문제의 지문에 제시된 내용은 PHP(Professional Hypertext Preprocessor)에 대한 설명입니다."
"Myers가 구분한 응집도(Cohesion)의 정도에서 가장 낮은 응집도를 갖는 단계는?","순차적 응집도(Sequential Cohesion)","기능적 응집도(Functional Cohesion)","시간적 응집도(Temporal Cohesion)","우연적 응집도(Coincidental Cohesion)",④,"응집도를 강한 것에서 약한 것 순으로 나열하면 기능적 응집도 → 순차적 응집도 → 교환/통신적 응집도 → 절차적 응집도 → 시간적 응집도 → 논리적 응집도 → 우연적 응집도입니다."
"Python 프로그램이 실행되었을 때의 결과는?
String = ‘Conceptual Schema’
r = String[-4:6:-2]
print(r)","hSlu","ShmCnep","ulSh","penCmhS",①,"슬라이스의 기본 형식 [초기위치:최종위치:증가값]에서 증가값이 음수이므로 초기위치부터 최종위치까지 '–2'씩 증가하면서 요소를 가져옵니다. -4의 위치에 있는 'h'부터 6+1(7)의 위치에 있는 'u'까지 한 자리씩 건너띄며 가져오면 'hSlu'가 됩니다."
"교착 상태 발생의 필요 충분 조건이 아닌 것은?","상호 배제(Mutual Exclusion)","점유와 대기(Hold and Wait)","환형 대기(Circular Wait)","선점(Preemption)",④,"교착 상태 발생의 필요 충분 조건 4가지는 상호 배제, 점유와 대기, 환형 대기, 비선점입니다."
"다음 중 비선점(Non-Preemptive) 스케줄링에 해당하지 않는 것은?","SJF","HRN","FCFS","SRT",④,"SRT는 선점 스케줄링 기법에 해당합니다."
"C 언어에서 사용할 수 없는 변수명은?","student2025","text-color","_korea","amount",②,"변수명에는 공백이나 *, +, -, / 등의 특수문자를 사용할 수 없습니다."
"TCP/IP에서 사용되는 논리 주소를 물리 주소로 변환시켜 주는 프로토콜은?","TCP","ARP","FTP","IP",②,"네트워크에서 논리 주소를 물리 주소로 변환하는 프로토콜은 ARP(Address Resolution Protocol)입니다."
"라이브러리의 개념과 구성에 대한 설명 중 틀린 것은?","라이브러리란 필요할 때 찾아서 쓸 수 있도록 모듈화되어 제공되는 프로그램을 말한다.","프로그래밍 언어에 따라 일반적으로 도움말, 설치 파일, 샘플 코드 등을 제공한다.","외부 라이브러리는 프로그래밍 언어가 기본적으로 가지고 있는 라이브러리를 의미하며, 표준 라이브러리는 별도의 파일 설치를 필요로 하는 라이브러리를 의미한다.","라이브러리는 모듈과 패키지를 총칭하며, 모듈이 개별 파일이라면 패키지는 파일들을 모아 놓은 폴더라고 볼 수 있다.",③,"프로그래밍 언어가 기본적으로 가지고 있는 라이브러리가 표준 라이브러리, 별도의 파일 설치를 필요로 하는 라이브러리는 외부 라이브러리입니다."
"C 언어 라이브러리 중 stdlib.h에 대한 설명으로 옳은 것은?","문자열을 수치 데이터로 바꾸는 문자 변환함수와 수치를 문자열로 바꿔주는 변환함수 등이 있다.","문자열 처리 함수로 strlen()이 포함되어 있다.","표준 입출력 라이브러리이다.","삼각 함수, 제곱근, 지수 등 수학적인 함수를 내장하고 있다.",①,"①번은 stdlib.h에 포함된 내용, ②번은 string.h, ③번은 stdio.h, ④번은 math.h에 대한 설명입니다."
