문제,보기1,보기2,보기3,보기4,정답,해설
"코드 설계에서 코드화 대상 항목의 성질, 즉 길이, 넓이, 부피, 지름, 높이 등의 물리적 수치를 그대로 코드에 적용시키는 방식의 코드는?","연상 코드","블록 코드","순차 코드","표의 숫자 코드",④,"표의 숫자 코드(Significant Digit Code)는 코드화 대상 항목의 성질, 즉 길이, 넓이, 부피, 지름, 높이 등의 물리적 수치를 그대로 코드에 적용시키는 방법입니다."
"애자일 소프트웨어 개발 기법의 가치가 아닌 것은?","계획을 따르기보다는 변화에 대응하는 것에 더 가치를 둔다.","실제 작동하는 소프트웨어보다는 이해하기 좋은 문서에 더 가치를 둔다.","계약 협상보다는 고객과의 협업에 더 가치를 둔다.","프로세스와 도구보다는 개인과 상호작용에 더 가치를 둔다.",②,"애자일(Agile)은 방대한 문서보다는 실행되는 SW에 더 가치를 둡니다."
"Rayleigh-Norden 곡선의 노력 분포도를 이용한 프로젝트 비용 산정 기법은?","Putnam 모형","델파이 모형","COCOMO 모형","기능점수 모형",①,"문제에서 설명하는 내용은 Putnam 모형입니다. ▪ 델파이 모형 : 전문가 감정 기법의 주관적인 편견을 보완하기 위해 많은 전문가의 의견을 종합하여 산정하는 기법 ▪ COCOMO 모형 : 보헴(Boehm)이 제안한 것으로 원시 프로그램의 규모인 원시 코드 라인 수(LOC)에 의한 비용 산정 기법 ▪ 기능점수 모형 : 알브레히트(Albrecht)가 제안한 것으로, 소프트웨어의 기능을 증대시키는 요인별로 가중치를 부여하고, 요인별 가중치를 합산하여 총 기능 점수를 산출하며, 총 기능 점수와 영향도를 이용하여 기능 수(FP)를 구한 후 이를 이용해서 비용을 산정하는 기법"
"객체지향의 주요 개념에 대한 설명으로 틀린 것은?","상속은 상위 클래스에서 속성이나 연산을 전달받아 새로운 형태의 클래스로 확장하여 사용하는 것을 의미한다.","객체는 실세계에 존재하거나 생각할 수 있는 것을 말한다.","캡슐화는 두 개 이상의 객체(클래스)들이 상호 참조하는 관계이다.","다형성은 상속받은 여러 개의 하위 객체들이 다른 형태의 특성을 갖는 객체로 이용될 수 있는 성질이다.",③,"캡슐화는 데이터(속성)와 데이터를 처리하는 함수를 하나로 묶어 인터페이스를 제외한 세부 내용을 은폐(정보 은닉)함으로써 외부에서의 접근을 제한하는 것입니다. 두 개 이상의 객체(클래스)들이 상호 참조하는 관계는 연관성입니다."
"WAS(Web Application Server)에 대한 설명으로 틀린 것은?","정적인 콘텐츠를 처리하기 위해 사용되는 미들웨어이다.","클라이언트/서버 환경보다는 웹 환경을 구현하기 위한 미들웨어이다.","미션 크리티컬한 기업 업무도 JAVA, EJB 컴포넌트 기반으로 구현이 가능하다.","대표적인 WAS의 종류에는 오라클의 WebLogic, IBM의 WebSphere 등이 있다.",①,"웹 애플리케이션 서버(WAS; Web Application Server)는 동적인 콘텐츠를 처리하기 위해 사용되는 미들웨어입니다. 정적인 콘텐츠를 처리하는 것은 웹 서버(Web Server)입니다."
"유스케이스 다이어그램(Use Case Diagram)의 구성 요소가 아닌 것은?","System","Actor","Operation","UseCase",③,"유스케이스 다이어그램은 시스템(시스템 범위), 액터, 유스케이스, 관계로 구성됩니다."
"폭포수 모형의 특징으로 거리가 먼 것은?","순차적인 접근방법을 이용한다.","나선형 모형의 단점을 보완하기 위한 모형이다.","단계적 정의와 산출물이 명확하다.","모형의 적용 경험과 성공사례가 많다.",②,"폭포수 모형은 전통적인, 즉 초기 형태의 생명 주기 모형으로, 나선형 모형보다 앞서 소개되었습니다."
"송수신 데이터의 처리 방식 중 대량의 데이터를 처리할 때 사용하는 방식은?","실시간 방식","분산 처리 방식","배치 방식","지연 처리 방식",③,"대량의 송수신 데이터를 처리할 때 사용하는 방식은 배치 방식입니다."
"결합도(Coupling)에 대한 설명으로 틀린 것은?","데이터 결합도(Data Coupling)는 두 모듈이 매개 변수로 자료를 전달할 때 자료 구조 형태로 전달되어 이용될 때 데이터가 결합되어 있다고 한다.","내용 결합도(Content Coupling)는 하나의 모듈이 직접적으로 다른 모듈의 내용을 참조할 때 두 모듈은 내용적으로 결합되어 있다고 한다.","공통 결합도(Common Coupling)는 두 모듈이 동일한 전역 데이터를 접근한다면 공통 결합되어 있다고 한다.","결합도(Coupling)는 두 모듈 간의 상호작용, 또는 의존도 정도를 나타내는 것이다.",①,"데이터 결합도는 모듈 간의 인터페이스가 자료 요소로만 구성될 때의 결합도입니다. ①번은 스탬프 결합도에 대한 설명입니다."
"CASE(Computer Aided Software Engineering)의 주요 기능으로 옳지 않은 것은?","S/W 라이프 사이클 전 단계의 연결","그래픽 지원","다양한 소프트웨어 개발 모형 지원","언어 번역",④,"CASE의 주요 기능에는 소프트웨어 생명 주기 전 단계의 연결, 다양한 소프트웨어 개발 모형 지원, 그래픽 지원 등이 있습니다."
