문제,보기1,보기2,보기3,보기4,정답,해설
"IEEE 802.3 LAN에서 사용되는 전송 매체 접속 제어(MAC)방식은?","CSMA/CD","Token Bus","Token Ring","Slotted Ring",①,"문제의 매체 접근 제어 방식은 CSMA/CD 방식입니다."
"주기억장치보다 큰 사용자 프로그램을 실행하기 위한 기법으로 보조기억장치에 저장된 하나의 프로그램을 여러 개의 조각으로 분할한 후 필요한 조각을 차례로 주기억장치에 적재하여 프로그램을 실행하는 할당 기법은?","오버레이","스와핑","페이징","세그먼테이션",①,"문제의 설명에 해당하는 할당 기법은 오버레이(Overlay)기법입니다."
"배치 프로그램의 자동 수행 주기 중 사용자가 특정 조건을 설정해 두고 해당 조건이 충족될 때만 수행되도록 하는 것은?","정기 배치","이벤트성 배치","On-Demand 배치","사용자 배치",②,"배치 프로그램의 자동 수행 주기 중 특정 조건을 설정해 두고 해당 조건이 충족될 때만 수행되는 것을 이벤트성 배치라고 합니다."
"다음은 어떤 프로그램 구조를 나타낸다. 모듈 F 에서의 Fan-In과 Fan-Out의 수는 얼마인가?","Fan-In : 2, Fan-Out : 3","Fan-In : 3, Fan-Out : 2","Fan-In : 1, Fan-Out : 2","Fan-In : 2, Fan-Out : 1",②,"ㆍ공유도(Fan-In)는 어떤 모듈(F)을 제어(호출)하는 모듈의 수를 나타내는 것이므로 F에 대한 Fan-In은 3입니다. ㆍ제어도(Fan-Out)는 어떤 모듈(F)에 의해 제어(호출)되는 모듈의 수를 나타내는 것이므로 F에 대한 Fan-Out은 2입니다."
"다음은 Java로 만들어진 반복문 코드이다. 이 코드의 결과는? int a = 0, sum = 0; do { a++; sum += a; } while(a > 10);","a = 0, sum = 0","a = 1, sum = 1","a = 9, sum = 45","a = 10, sum = 55",②,"정수형 변수 a, sum을 선언하고 0으로 초기화한다. do~while 문의 시작이다. a = a + 1; sum = sum + a; a가 10보다 큰 동안 반복한다. a가 10보다 크지 않으므로 반복문을 벗어난다. 결과 a = 1, sum = 1"
"다음 중 Java에서 표준 출력 시 사용하는 명령어가 아닌 것은?","prn","print","printf","println",①,"Java에서 표준 출력에 사용하는 메소드에는 print, printf, println이 있습니다."
"스크립트(Script) 언어가 아닌 것은?","PHP","Fortran","Basic","Python",②,"Fortran은 과학 기술 계산용 언어로 절차적 프로그래밍 언어에 속합니다."
"다음 중 페이지 교체(Page Replacement)알고리즘이 아닌 것은?","LRU","OPT","NUR","SCF",④,"페이지 교체 알고리즘의 종류에는 OPT, FIFO, LRU, LFU, NUR, SCR 등이 있습니다."
"다음 Java 프로그램이 실행되었을 때 실행 결과는? public class Test { public static void main(String args[]) { String str = \"Message Queueing\"; char s[] = str.toCharArray(); int r = 0; for (char c:s) if (c == 'e') r++; System.out.print(r); } }","2","3","4","5",③,"문자열 객체 변수 str을 선언하고 초기화한다. char s[] = str.toCharArray(); 문자열을 문자배열로 변환한다. 정수형 변수 r을 선언하고 0으로 초기화한다. 반복문을 통해 'e'의 개수를 세어 r에 저장한다. 결과 4"
"네트워크 계층까지의 프로토콜 구조가 다른 네트워크 간의 연결을 위해 프로토콜 변환 기능을 수행하는 네트워크 장비는 무엇인가?","리피터(Repeater)","브리지(Bridge)","라우터(Router)","게이트웨이(Gateway)",④,"프로토콜 구조가 다른 네트워크 간의 연결을 위해 프로토콜 변환 기능을 수행하는 장비는 게이트웨이(Gateway)입니다."
