문제,보기1,보기2,보기3,보기4,정답,해설
"각 사용자 인증의 유형에 대한 설명으로 가장 적절하지 않은 것은?","지식 주체는 그가 알고 있는 것을 보여주며 예시로는 패스워드, PIN 등이 있다.","소유 주체는 그가 가지고 있는 것을 보여주며 예시로는 토큰, 스마트카드 등이 있다.","존재 주체는 그를 대체하는 것을 보여주며 예시로는 패턴, QR 등이 있다.","행위 주체는 그가 하는 것을 보여주며 예시로는 서명, 움직임, 음성 등이 있다.",③,"존재 주체(Biometrics)는 사용자의 생체(손가락, 홍채 등)와 관련 있습니다. 패턴, QR 등은 행위/소유 인증에 가깝습니다."
"소프트웨어 비용 산정 기법 중 개발 유형으로 Organic, Semi-Detach, Embedded로 구분되는 것은?","PUTNAM","COCOMO","FP","SLIM",②,"COCOMO(COnstructive COst MOdel)는 소프트웨어의 크기와 유형(Organice, Semi-detached, Embedded)에 따라 비용을 산정합니다."
"정보시스템과 관련한 다음 설명에 해당하는 것은?
ㆍ각 시스템 간에 공유 디스크를 중심으로 클러스터링으로 엮어 다수의 시스템을 동시에 연결할 수 있다.
ㆍ조직, 기업의 기간 업무 서버 안정성을 높이기 위해 사용될 수 있다.
ㆍ여러 가지 방식으로 구현되며 2개의 서버를 연결하는 것으로 2개의 시스템이 각각 업무를 수행하도록 구현하는 방식이 널리 사용된다.","고가용성 솔루션(HACMP)","점대점 연결 방식(Point-to-Point Mode)","스턱스넷(Stuxnet)","루팅(Rooting)",①,"고가용성 솔루션(HACMP)은 이중 서버/클러스터 기반으로 시스템의 업무 연속성/안정성을 보장합니다."
"웹페이지에 악의적인 스크립트를 포함시켜 사용자 측에서 실행되게 유도함으로써 정보 유출 등의 공격을 유발할 수 있는 취약점은?","Ransomware","Pharming","Phishing","XSS",④,"XSS(Cross Site Scripting)는 웹페이지의 입력란 등에 악성 스크립트를 삽입하여 사용자 브라우저에서 비정상 실행을 유도/정보유출 가능케 하는 대표적 웹 보안 취약점."
"상향식 비용 산정 기법 중 원시 코드 라인 수(LOC) 기법에서 예측치를 구하기 위해 사용하는 항목이 아닌 것은?","낙관치","기대치","비관치","모형치",④,"LOC 산정기법에서는 낙관치, 기대치, 비관치 등은 사용하지만 '모형치'는 사용하지 않습니다."
"전자 칩과 같은 소프트웨어 부품, 즉 블록, 모듈을 만들어서 끼워 맞추는 방법으로 소프트웨어를 완성시키는 재사용 방법은?","합성 중심","생성 중심","분리 중심","구조 중심",①,"합성 중심은 소프트웨어 부품 조립(칩·모듈형) 방식의 재사용에 해당합니다."
"소프트웨어 개발 방법론의 테일러링(Tailoring)과 관련한 설명으로 틀린 것은?","프로젝트 수행 시 예상되는 변화를 배제하고 신속히 진행하여야 한다.","프로젝트에 최적화된 개발 방법론을 적용하기 위해 절차, 산출물 등을 적절히 변경하는 활동이다.","관리 측면에서의 목적 중 하나는 최단 기간에 안정적인 프로젝트 진행을 위한 사전 위험을 식별하고 제거하는 것이다.","기술적 측면에서의 목적 중 하나는 프로젝트에 최적화된 기술 요소를 도입하여 프로젝트 특성에 맞는 최적의 기법과 도구를 사용하는 것이다.",①,"테일러링은 표준 방법론을 현장 맞춤으로 '변화'에 유연하게 대응하는 개선 작업입니다. 변화를 배제하는 것이 아니라 수용하고, 최적화하는 과정입니다."
"크래커가 침입하여 백도어를 만들어 놓거나, 설정 파일을 변경했을 때 분석하는 도구는?","trace","tripwire","udpdump","cron",②,"tripwire는 파일 변경·시스템 무결성 검증을 위한 보안 도구입니다."
"SSH(Secure Shell)에 대한 설명으로 틀린 것은?","SSH의 기본 네트워크 포트는 25번을 사용한다.","전송되는 데이터는 암호화 된다.","키를 통한 인증은 클라이언트의 공개키를 서버에 등록해야 한다.","서로 연결되어 있는 컴퓨터 간 원격 명령 실행이나 셀 서비스 등을 수행한다.",①,"SSH는 포트 22를 기본 포트로 사용합니다. 25번은 SMTP의 포트입니다."
"클라우드 기반 HSM(Cloud-based Hardware Security Module)에 대한 설명으로 틀린 것은?","클라우드 데이터센터 기반 암호화 키 생성·처리·저장 등을 하는 보안 기기이다.","국내에서는 공인인증제의 폐지와 전자서명법 개정을 추진하면서 클라우드 HSM 용어가 자주 등장하였다.","클라우드에 인증서를 저장하므로 기존 HSM 기기나 휴대폰에 인증서를 저장해 다닐 필요가 없다.","하드웨어가 아닌 소프트웨어적으로만 구현되기 때문에 소프트웨어식 암호 기술에 내재된 보안 취약점을 해결할 수 없다는 것이 주요 단점이다.",④,"Cloud HSM은 하드웨어 보안모듈을 클라우드 방식으로 제공하며, 소프트웨어 보안 방식의 취약점을 보완하는 목적입니다. HW 기반 보안장치임."
