문제,보기1,보기2,보기3,보기4,정답,해설
"빌드 자동화 도구에 대한 설명으로 틀린 것은?","Gradle은 실행할 처리 명령들을 모아 태스크로 만든 후 태스크 단위로 실행한다.","빌드 자동화 도구는 지속적인 통합 개발 환경에서 유용하게 활용된다.","빌드 자동화 도구에는 Ant, Gradle, Jenkins 등이 있다.","Jenkins는 Groovy를 기반으로 한 오픈 소스로 안드로이드 앱 개발 환경에서 사용된다.",④,"Jenkins는 Groovy 기반이 아니라 Java로 개발되었으며, 주로 CI(지속적 통합) 서버 용도로 쓰입니다. Groovy 기반 빌드 도구는 Gradle입니다."
"화이트박스 테스트와 관련한 설명으로 틀린 것은?","화이트박스 테스트의 이해를 위해 논리 흐름도(Logic-Flow Diagram)를 이용할 수 있다.","테스트 데이터를 이용해 실제 프로그램을 실행함으로써 오류를 찾는 동적 테스트에 해당한다.","프로그램의 구조를 고려하지 않기 때문에 테스트 케이스는 프로그램 또는 모듈의 요구나 명세를 기초로 결정한다.","테스트 데이터를 선택하기 위하여 검증 기준(Test Coverage)을 정한다.",③,"화이트박스 테스트는 프로그램의 내부 구조까지 고려하는 테스트로, 테스트 케이스 역시 구조(논리 흐름)를 기준으로 결정됩니다. ③은 블랙박스 테스트의 설명입니다."
"알파/베타 테스트와 가장 밀접한 연관이 있는 테스트 단계는?","단위 테스트","인수 테스트","통합 테스트","시스템 테스트",②,"알파/베타 테스트는 사용자 또는 인수단체가 제품의 사용성을 직접 확인하는 인수 테스트(User Acceptance Test) 단계와 가장 관계가 깊습니다."
"다음 중 테스트 오라클에 대한 설명으로 옳지 않은 것은?","샘플링 오라클: 특정한 몇몇 테스트 케이스의 입력 값들에 대해서만 기대하는 결과를 제공하는 오라클이다.","토탈 오라클: 모든 테스트 케이스의 입력 값에 대해 기대하는 결과를 제공하는 오라클이다.","휴리스틱 오라클: 특정 테스트 케이스의 입력 값에 대해 기대하는 결과를 제공하고 나머지 입력 값들에 대해서는 추정으로 처리하는 오라클이다.","일관성 검사 오라클: 애플리케이션의 변경이 있을 경우 테스트 케이스의 수행 전과 후의 결과 값이 동일한지를 확인하는 오라클이다.",②,"모든 테스트 케이스의 결과 값을 정확히 제공할 수 있는 오라클(참 오라클)은 이론적으로는 가능하나 실제 소프트웨어에서는 구현이 어렵습니다. 토탈 오라클은 현실적으로 존재하지 않습니다."
"EAI(Enterprise Application Integration)의 구축 유형으로 옳지 않은 것은?","Tree","Hub & Spoke","Message Bus","Point-to-Point",①,"EAI 구축 유형으로는 Hub & Spoke, Message Bus, Point-to-Point, Hybrid 등이 있으며, Tree는 적용되지 않습니다."
"다음 트리를 Preorder 운행법으로 운행할 경우 다섯 번째로 탐색되는 것은?","C","E","G","H",②,"Preorder(전위 순회)는 Root→Left→Right 순서로, 다섯 번째 방문 노드는 E에 해당합니다. (A→B→D→F→E)"
"다음 초기 자료에 대하여 삽입 정렬(Insertion Sort)을 이용하여 오름차순 정렬할 경우 1회전 후의 결과는? (초기: 8, 3, 4, 9, 7)","3, 4, 8, 7, 9","3, 4, 9, 7, 8","7, 8, 3, 4, 9","3, 8, 4, 9, 7",④,"8, 3, 4, 9, 7에서 1회전: 3, 8, 4, 9, 7입니다."
"다음 중 단위 테스트 도구로 사용될 수 없는 것은?","CppUnit","JUnit","HttpUnit","IgpUnit",④,"단위 테스트 도구에는 CppUnit(C, C++), JUnit(Java), HttpUnit(웹 테스팅), NUnit(.NET) 등이 있으나 IgpUnit은 해당하지 않습니다."
"소프트웨어 재공학이 소프트웨어의 재개발에 비해 갖는 장점으로 거리가 먼 것은?","위험부담 감소","비용 절감","시스템 명세의 오류 억제","개발 시간의 증가",④,"재공학은 개발 시간 단축, 위험부담 감소, 비용 절감 효과가 있으나 개발 시간이 증가하는 단점이 없습니다."
"알고리즘 설계 기법으로 거리가 먼 것은?","Divide and Conquer","Greedy","Static Block","Backtracking",③,"Static Block은 설계 기법이 아니며, 나머지는 알고리즘 설계 기법입니다."
