문제,보기1,보기2,보기3,보기4,정답,해설
"UML의 기본 구성 요소(Things)로 포함되지 않는 것은?","Things","Terminal","Relationship","Diagram",②,"UML의 Things(사물)는 구조 사물, 행동 사물 등으로 구분되며, Terminals는 포함되지 않습니다. Relationship(관계), Diagram(다이어그램) 등은 UML 기본 요소에 포함됩니다."
"한 모듈 내의 각 구성 요소들이 공통의 목적을 달성하기 위하여 서로 얼마나 관련이 있는지의 기능적 연관의 정도를 나타내는 것은?","Cohesion","Coupling","Structure","Unity",①,"Cohesion(응집도)는 모듈 내 구성요소들이 얼마나 관련있는지(내부 일체성), Coupling(결합도)는 외부 다른 모듈과의 연결정도입니다."
"객체 지향 소프트웨어 공학에서 하나 이상의 유사한 객체들을 묶어서 하나의 공통된 특성을 표현한 것은?","트랜잭션","클래스","시퀀스","서브루틴",②,"클래스(Class)는 유사한 속성과 연산을 가지는 객체들의 집합 또는 유형입니다."
"설계 원칙에서 누구나 쉽게 이해하고 사용할 수 있어야 한다는 것은?","유효성","직관성","무결성","유연성",②,"직관성(Intuitiveness)은 사용자가 어렵지 않게 기능을 이해·이용할 수 있게 하는 UI의 설계 원칙입니다."
"DOS 및 UNIX 등의 운영체제에서 조작을 위해 사용하던 정해진 명령 문자열을 입력하여 시스템을 조작하는 사용자 인터페이스는?","GUI(Graphical User Interface)","CLI(Command Line Interface)","CUI(Cell User Interface)","MUI(Mobile User Interface)",②,"정해진 명령 문자열(커맨드라인)로 시스템을 조작하는 것은 CLI(Command Line Interface)입니다."
"애자일(Agile) 소프트웨어 개발에 대한 설명으로 틀린 것은?","공정과 도구보다 개인과의 상호작용을 더 가치 있게 여긴다.","동작하는 소프트웨어보다는 포괄적인 문서를 가치 있게 여긴다.","계약 협상보다는 고객과의 협력을 가치 있게 여긴다.","계획을 따르기보다 변화에 대응하기를 가치 있게 여긴다.",②,"애자일 방식에서는 동작하는 소프트웨어를 문서보다 더 가치 있게 여깁니다."
"디자인 패턴을 생성/구조/행동 패턴의 세 그룹으로 분류할 때, 구조 패턴이 아닌 것은?","Adapter 패턴","Bridge 패턴","Builder 패턴","Proxy 패턴",③,"Builder 패턴은 생성(Creational) 패턴입니다. 구조(Structural) 패턴에는 Adapter, Bridge, Proxy 등이 있습니다."
"코드 설계에서 일정한 일련번호를 부여하는 방식의 코드는?","연상 코드","블록 코드","순차 코드","표의 숫자 코드",③,"순차 코드(Serial Code)는 항목 생성 순서에 따라 일련번호를 부여하는 부여 방식입니다."
"입력되는 데이터를 컴퓨터의 프로세서가 처리하기 전에 미리 처리하여 프로세서가 처리하는 시간을 줄여주는 프로그램이나 하드웨어를 말하는 것은?","EAI","FEP","GPL","Duplexing",②,"FEP(Front-End Processor)는 본처리장치에 앞서 입력 데이터를 미리 처리하여 주 프로세서의 부담을 덜어주는 장치입니다."
"소프트웨어 아키텍처와 관련한 설명으로 틀린 것은?","파이프-필터 아키텍처에서 데이터는 파이프를 통해 양방향으로 흐르며 필터 이동 시 오버헤드가 발생하지 않는다.","외부에서 인식할 수 있는 특성이 담긴 소프트웨어의 골격이 되는 기본 구조로 볼 수 있다.","데이터 중심 아키텍처는 공유 데이터 저장소를 통해 접근자 간의 통신이 이루어지므로 각 접근자의 수정과 확장이 용이하다.","이해 관계자들의 품질 요구사항을 반영하여 품질 속성을 결정한다.",①,"파이프-필터(Pipe-Filter) 아키텍처에서 데이터 흐름은 일반적으로 단방향이며, 필터 이동 시 오버헤드(비용)가 발생할 수 있습니다. 양방향 흐름, 오버헤드 없음은 올바른 설명이 아닙니다."
